AppID,AppType,Followers,Positive_rev,Negative_rev,Positive_rev_per,Steam reviews,PlayTracker,VG Insights,SteamSpy
20200,Game,212,6,11,35.29%,680,23.2 k,5.3 k,3.0 k
655370,Game,227,56,7,88.89%,1.9 k,83.6 k,1.4 k,15.0 k
1732930,Game,10,,,,,,,
1355720,Game,59,5,0,100.00%,100,,150,2.0 k
1139950,Game,368,53,7,88.33%,1.2 k,,1.8 k,2.0 k
1469160,Game,592,117,63,65.00%,3.6 k,113.2 k,5.4 k,85.0 k
1659180,Game,226,22,9,70.97%,620,,930,6.0 k
1968760,Game,18,,,,,,,
1178150,Game,748,90,8,91.84%,2.0 k,9.7 k,2.9 k,4.0 k
320150,Game,466,227,43,84.07%,9.5 k,1.16 M,49.5 k,67.0 k
1026420,Game,"9,325",643,249,72.09%,22.3 k,2.02 M,32.9 k,36.0 k
485000,Game,773,147,60,71.01%,7.2 k,867.7 k,11.2 k,76.0 k
1620060,Game,13,7,0,100.00%,140,,210,2.0 k
825930,Game,"15,864",47,12,79.66%,1.5 k,94.2 k,498,35.0 k
1454010,Game,582,319,32,90.88%,7.0 k,,10.5 k,8.0 k
22670,Game,"1,213",,,,,2.05 M,99.4 k,348.0 k
1330820,Game,101,20,1,95.24%,420,4.1 k,630,6.0 k
346560,Game,"4,205","2,139",125,94.48%,79.2 k,1.58 M,134.7 k,119.0 k
1097880,Game,"20,525","1,101",154,87.73%,31.4 k,132.3 k,34.1 k,
1362670,Game,126,3,1,75.00%,80,,120,8.0 k
290870,Game,"2,516",60,31,65.93%,3.2 k,70.9 k,4.2 k,36.0 k
575760,Game,62,37,33,52.86%,2.1 k,428.8 k,2.5 k,20.0 k
434030,Game,"18,301","1,537",420,78.54%,58.7 k,33.0 k,66.8 k,208.0 k
810740,Game,32,5,10,33.33%,375,296.2 k,648,28.0 k
2073470,Game,"7,267","2,440",441,84.69%,57.6 k,160.0 k,86.4 k,72.0 k
589250,Game,388,37,22,62.71%,1.2 k,5.3 k,1.8 k,3.0 k
677880,Game,159,18,52,25.71%,2.1 k,425.2 k,3.8 k,19.0 k
1294780,Game,139,44,6,88.00%,1.0 k,,1.5 k,7.0 k
1342850,Game,110,24,5,82.76%,580,,870,5.0 k
1177420,Game,"3,273",739,46,94.14%,15.7 k,12.7 k,23.6 k,
793990,Game,41,23,19,54.76%,1.1 k,475.2 k,1.5 k,8.0 k
1727670,Application,107,20,7,74.07%,540,,,3.0 k
955490,Game,84,8,4,66.67%,300,,408,14.0 k
552350,Game,350,15,10,60.00%,750,254.9 k,1.3 k,29.0 k
42500,Game,"1,330",262,164,61.50%,17.0 k,2.19 M,190.7 k,192.0 k
1195610,Game,40,1,0,100.00%,20,,30,6.0 k
1095380,Game,26,8,2,80.00%,250,,240,9.0 k
1158910,Game,213,17,8,68.00%,625,,750,2.0 k
1194940,Game,265,35,7,83.33%,840,,1.3 k,6.0 k
262150,Game,"8,765","2,009",851,70.24%,100.1 k,2.77 M,164.5 k,315.0 k
1192900,Game,"6,417",203,48,80.88%,5.0 k,16.6 k,7.5 k,61.0 k
866150,Game,"4,256",54,100,35.06%,3.9 k,666.7 k,5.2 k,87.0 k
231330,Game,"18,413","1,764",633,73.59%,95.9 k,1.15 M,330.1 k,166.0 k
1056520,Game,159,6,4,60.00%,250,,274,
897820,Game,"11,812",728,204,78.11%,23.3 k,410.2 k,33.5 k,98.0 k
658970,Game,523,148,89,62.45%,5.9 k,234.8 k,30.5 k,63.0 k
1777550,Game,46,2,2,50.00%,80,,120,1.0 k
552520,Game,"390,286","110,783","27,358",80.20%,2.76 M,5.07 M,4.74 M,2.13 M
718350,Game,60,4,4,50.00%,240,37.7 k,238,32.0 k
433450,Game,"2,197",62,47,56.88%,3.8 k,270.9 k,3.8 k,7.0 k
1709450,Game,56,11,2,84.62%,260,5.1 k,390,23.0 k
1431470,Game,64,1,0,100.00%,20,,30,38.0 k
1794920,Game,106,9,9,50.00%,360,,540,
1959480,Game,"3,856","1,423",162,89.78%,31.7 k,,47.6 k,
763550,Game,99,3,3,50.00%,120,,180,7.0 k
1445370,Game,68,8,0,100.00%,160,,240,1.0 k
464230,Game,262,71,18,79.78%,3.1 k,460.0 k,11.9 k,42.0 k
1293830,Game,"265,306","160,627","20,037",88.91%,3.61 M,2.38 M,5.42 M,3.57 M
1509640,Game,93,3,19,13.64%,440,,660,6.0 k
1135380,Game,249,7,4,63.64%,275,,404,1.0 k
1944730,Game,87,15,1,93.75%,320,,480,1.0 k
1144900,Game,12,0,1,0.00%,25,,30,23.0 k
306350,Game,352,289,94,75.46%,13.4 k,2.67 M,21.2 k,242.0 k
1684530,Game,83,9,4,69.23%,260,,390,1.0 k
1557480,Game,"5,669",356,280,55.97%,12.7 k,16.8 k,19.1 k,45.0 k
1128520,Game,17,7,0,100.00%,175,,254,1.0 k
12140,Game,"12,745","10,508","1,252",89.35%,470.4 k,3.42 M,733.2 k,1.04 M
1647430,Game,23,1,0,100.00%,20,,30,33.0 k
1845050,Game,68,20,1,95.24%,420,,630,31.0 k
1163340,Game,"1,837",194,27,87.78%,4.4 k,3.4 k,6.6 k,9.0 k
1608620,Game,17,,,,,,,
